No,Component,Keywords,Category,Description,Layout Pattern,Do,Don't,Tamagui,Paper,GlueStack,UIKitten,Chart Library,Severity
11,Progress Ring,"progress, ring, circular, completion, target, radial",Data Display,"Circular progress ring for completion or target visualization","Within a card; often paired with center label text","Show percentage in center; use semantic color (green complete amber partial red behind)","Use for values that don't represent progress (misleading); animate continuously when not loading","Progress component (linear only - use chart-kit for circular)","ProgressBar (linear only - use chart-kit ProgressChart for circular)","Progress (linear - use chart-kit for circular)","use chart-kit ProgressChart","react-native-chart-kit ProgressChart; react-native-circular-progress",Medium
12,Notification Card,"notification, alert, warning, info, card, message, severity",Data Display,"Alert card with colored left border indicating severity level","Stacked in notification list or pinned at top of dashboard","Use 4px left border with semantic color; include dismiss action; show timestamp","Use background fill color for entire card (overwhelming); no dismiss option","Card (YStack + borderLeftWidth={4} + borderLeftColor={semanticColor}) + SizableText","Card mode=outlined + style borderLeftWidth/Color + Card.Content + Text","Card + style borderLeft","Card + style borderLeft",--,Medium
13,Line Chart Widget,"line chart, trend, time series, chart card",Chart Widget,"Trend line visualization wrapped in a dashboard card","Full-width card or 2-col grid item","Pass theme tokens to chartConfig; show axes labels; add loading skeleton while fetching","Hardcode colors outside theme; leave chart unstyled against card background","Card (YStack padding=""$3"") wrapping chart component","Card + Card.Content wrapping chart component","Card + Box wrapping chart component","Card wrapping chart component","react-native-chart-kit LineChart; victory-native VictoryLine; react-native-gifted-charts LineChart",High
14,Bar Chart Widget,"bar chart, comparison, categories, bar graph",Chart Widget,"Category comparison bar chart wrapped in a dashboard card","Full-width card or 2-col grid item","Sort bars by value descending; show value labels; horizontal bars for long labels","Cram 15+ bars without scroll; use random unsorted order","Card (YStack padding=""$3"") wrapping chart component","Card + Card.Content wrapping chart component","Card + Box wrapping chart component","Card wrapping chart component","react-native-chart-kit BarChart; react-native-gifted-charts BarChart",Medium
15,Pie/Donut Widget,"pie chart, donut, allocation, proportion, share",Chart Widget,"Allocation or proportion display with optional center label","Within a card; often half-width in 2-col grid","Max 5 slices; show percentage labels; use donut with center total value","Use for 6+ categories (switch to bar); use similar colors for adjacent slices","Card (YStack padding=""$3"" alignItems=""center"") + center overlay ZStack for label","Card + Card.Content + center overlay for label","Card + Box + center overlay","Card + center overlay","react-native-gifted-charts PieChart (donut mode isDonut={true}); react-native-chart-kit PieChart",Medium
16,Candlestick Widget,"candlestick, ohlc, financial, stock, trading, price chart",Chart Widget,"OHLCV financial chart with crosshair on long-press for trading dashboards","Full-width card; often primary dashboard widget","Enable pinch-zoom and pan; show crosshair with OHLCV values on long-press; haptic feedback","Disable zoom on financial charts; use static candlestick without interaction","Card (YStack padding=""$3"") + Sheet for drill-down detail","Card + Card.Content + Sheet for detail","Card + Box + BottomSheet for detail","Card + Modal for detail","react-native-wagmi-charts CandlestickChart; react-native-charts-wrapper CandleStickChart",Critical
17,Gauge Widget,"gauge, meter, semi-circle, dial, performance, risk",Chart Widget,"Semi-circle gauge for performance or risk level indicator","Within a card; often 50% width in grid","Animate needle smoothly on value change; show min/max labels; color zones (green/amber/red)","Use full circle (confusing); skip min/max labels; static without animation","Card (YStack alignItems=""center"") + custom @shopify/react-native-skia Path arc","Card + Card.Content + custom Skia canvas","Card + Box + custom Skia","Card + custom Skia","react-native-circular-progress; custom @shopify/react-native-skia",Medium
18,Heatmap Widget,"heatmap, matrix, grid, intensity, correlation, activity",Chart Widget,"Color-intensity grid showing activity or correlation patterns","Full-width card","Use sequential color scale (light to dark); show value on tap; label axes","Use diverging colors for non-diverging data; make cells too small to tap (min 44px)","Card (YStack padding=""$3"") + XStack/YStack grid of colored Views","Card + Card.Content + custom grid","Card + Grid of colored Box","Card + custom grid","react-native-chart-kit ContributionGraph; react-native-echarts heatmap",Medium
19,Radar Widget,"radar, spider, multi-axis, comparison, skill",Chart Widget,"Multi-axis comparison chart for comparing entities across dimensions","Within a card; 50% width in grid or full-width","Max 6-8 axes; fill with low opacity (0.2); overlay 2 datasets max for comparison","Use 10+ axes (unreadable); skip axis labels; use without legend for multiple datasets","Card (YStack padding=""$3"" alignItems=""center"") wrapping chart","Card + Card.Content wrapping chart","Card + Box wrapping chart","Card wrapping chart","react-native-gifted-charts RadarChart; react-native-charts-wrapper RadarChart",Low
20,Segmented Time Control,"segmented, time control, timeframe, period, 1H 4H 1D 1W",Navigation,"Timeframe switcher (1H/4H/1D/1W/1M) for chart time periods","Directly above a chart widget or in a dashboard header","Highlight active segment clearly; keep 3-5 options max; persist selection across sessions","Use dropdown for time selection (too many taps); show more than 6 segments","Tabs + Tabs.List + Tabs.Trigger (value per timeframe) + compact styling","SegmentedButtons (value onValueChange buttons=[{value label}])","ButtonGroup + Button (variant per state)","ButtonGroup + Button",--,High
21,Tab Dashboard Layout,"tab, dashboard tabs, sections, overview, positions, history",Navigation,"Tab-organized dashboard sections for multi-view dashboards","Top-level navigation pattern; tabs at top or bottom","Max 5 tabs; use icon + label; lazy-render off-screen tabs with React.memo","Use tabs for 2 sections (use toggle instead); nest tabs within tabs","Tabs (orientation=""horizontal"") + Tabs.List + Tabs.Content per section","BottomNavigation (navigationState onIndexChange renderScene) max 5 routes","use expo-router tabs","TabView + TabBar",--,High
22,Search/Filter Bar,"search, filter, find, query, dashboard search",Navigation,"Dashboard data search and filtering input","Top of dashboard or within a section header","Debounce search input (300ms); show clear button; persist filter state on tab switch","Search on every keystroke (expensive); hide search behind menu","Input (placeholder icon={SearchIcon} value onChangeText)","Searchbar (mode=""bar"" placeholder value onChangeText icon onClearIconPress)","Input + InputIcon + InputField","Input (placeholder accessoryLeft={SearchIcon})",--,Medium
23,Chip/Tag Filter,"chip, tag, filter, multi-select, category, toggle",Navigation,"Multi-select filter pills for category or status filtering","Below search bar or above a data list","Use horizontal ScrollView for many chips; show selected count; clear-all option","Stack chips vertically (wastes space); no visual distinction between selected/unselected","styled Pressable in XStack (horizontal ScrollView) with selected state background","Chip (compact selected icon onPress) in ScrollView horizontal","Badge variant=solid/outline per state in HStack","custom Pressable pills",--,Medium
24,Collapsible Section,"collapsible, accordion, expandable, section, grouped",Navigation,"Expandable section header for grouping related dashboard metrics","Full-width; stack vertically for grouped data","Animate expand/collapse (200ms); keep header always visible; show item count in header","Start all collapsed (user sees nothing); no visual cue for expandability (add chevron)","Custom animated YStack with height animation + Pressable header + ChevronDown icon","List.Accordion (title left expanded onPress) + List.Item children","Accordion + AccordionItem + AccordionTrigger + AccordionContent","custom animated collapsible",--,Medium
25,Swipeable Card,"swipeable, swipe action, delete, archive, pin, gesture",Navigation,"Card with swipe-to-reveal actions (delete/archive/pin)","Within FlatList or ScrollView of dashboard cards","Show action label + icon; use red for destructive; max 2 actions per side","Rely on swipe as only way to access actions (add overflow menu too); no visual hint of swipeability","react-native-gesture-handler Swipeable + Animated XStack for action panel","react-native-gesture-handler Swipeable + Surface for action panel","Actionsheet as alternative; Swipeable from gesture-handler","use gesture-handler Swipeable",--,Medium
26,Bottom Sheet Detail,"bottom sheet, drill-down, detail, peek, expand, sheet",Overlay,"Drill-down from card tap to full detail view in a bottom sheet","Triggered by card tap; overlays dashboard content","Use snap points (30% peek / 80% full); include handle for affordance; support swipe-dismiss","Use full-screen navigate for every detail (breaks dashboard flow); no close affordance","Sheet (snapPoints={[30 80]} dismissOnSnapToBottom) + Sheet.Handle + Sheet.Frame","@gorhom/bottom-sheet (snapPoints index onChange) + BottomSheetView","BottomSheet (snapPoints) + BottomSheetContent","use @gorhom/bottom-sheet",--,High
27,Pull-to-Refresh,"pull to refresh, refresh, reload, live data, update",Overlay,"Pull-down gesture to refresh dashboard data","Wraps entire dashboard ScrollView or FlatList","Show last-updated timestamp after refresh; use theme-colored spinner; debounce rapid pulls","Refresh without visual feedback; full-screen loading overlay on refresh (use inline)","ScrollView + RefreshControl (refreshing onRefresh tintColor={theme.accent})","use RN RefreshControl on ScrollView","ScrollView + RefreshControl","use RN RefreshControl",--,Medium
28,Skeleton Loading,"skeleton, shimmer, placeholder, loading, widget loading",Feedback,"Shimmer placeholder matching widget shape while data loads","Replace each widget with its skeleton shape during loading","Match skeleton to actual widget dimensions; use subtle shimmer animation; load widgets independently","Show single full-screen spinner; use generic rectangles that don't match widget shapes","moti/skeleton (MotiView + Skeleton.Group + show={isLoading})","react-native-skeleton-placeholder (SkeletonPlaceholder + SkeletonPlaceholder.Item)","Skeleton (variant=rounded startColor endColor)","use react-native-skeleton-placeholder",--,High
29,Empty State,"empty state, no data, zero state, first time, onboarding",Feedback,"Helpful message with illustration and CTA when no data exists","Center of the widget or full dashboard area","Include clear explanation + actionable CTA (Add first item / Connect account); use illustration","Show blank screen; show technical error message (No rows returned); no recovery path","YStack (alignItems=""center"" gap=""$3"") + Image + SizableText + Button","Surface + Text + Button (mode=""contained"")","VStack (alignItems=""center"") + Image + Heading + Text + Button","Layout (alignItems=""center"") + Text + Button",--,High
30,Error State Widget,"error, retry, failed, widget error, boundary",Feedback,"Per-widget error display with retry button (not full-screen crash)","Replaces individual widget content on failure; other widgets keep working","Show what went wrong briefly; include Retry button; wrap each widget in ErrorBoundary","Let one widget failure crash entire dashboard; show raw error stack; no retry option","YStack (alignItems=""center"" gap=""$2"") + SizableText (color=""$red10"") + Button (onPress=retry)","Card + Text (variant=""bodyMedium"") + Button (mode=""outlined"" onPress=retry)","Alert (status=""error"") + Button","custom error View + Button",--,Critical
31,Toast/Snackbar,"toast, snackbar, notification, feedback, transient, message",Feedback,"Transient success/error/info feedback message that auto-dismisses","Bottom of screen above tab bar; overlays dashboard content","Auto-dismiss in 3-5s; include action button for undo; use semantic colors","Block UI while showing toast; stack multiple toasts; show for less than 2s","burnt (toast) or sonner-native (Toaster + toast.success/error)","Snackbar (visible onDismiss action duration={3000})","Toast (action=""success/error/info"" placement=""bottom"")","use burnt or sonner-native",--,Medium
32,Dialog Confirm,"dialog, confirm, destructive, modal, alert, confirmation",Overlay,"Confirmation modal for destructive or important actions","Centered overlay triggered by action button","Use red/destructive color for dangerous action button; include Cancel; clear consequence description","Confirm non-destructive actions (unnecessary friction); auto-dismiss without user input","Dialog + Dialog.Portal + Dialog.Overlay + Dialog.Content + Dialog.Title + Dialog.Description + Dialog.Close","Dialog + Dialog.Content + Dialog.Title + Dialog.Actions + Portal","AlertDialog + AlertDialogContent + AlertDialogHeader + AlertDialogBody + AlertDialogFooter","Modal + Card + Text + Button",--,Medium
33,FAB (Quick Action),"fab, floating action, quick action, add, create, primary action",Overlay,"Floating action button for primary dashboard action (add/create/trade)","Bottom-right corner; above tab bar with safe area offset","One primary action only; use consistent position; hide on scroll down / show on scroll up","Multiple FABs; place in content flow (it should float); change position per screen","Button (circular size=""$5"" elevate icon={PlusIcon} position=""absolute"" bottom={80} right={16})","FAB (icon=""plus"" onPress size=""medium"" variant=""primary"" style={position absolute})","Fab (placement=""bottom right"" icon={AddIcon} onPress)","custom absolute-positioned Button",--,Medium
34,Tooltip Overlay,"tooltip, info, contextual, long-press, hint, popover",Overlay,"Contextual information popup on long-press or hover","Appears near trigger element; overlays dashboard content","Show on long-press (300ms); dismiss on tap-away; max 2 lines of text; position auto-flip","Show tooltip on every element (overwhelming); block interaction below tooltip","Tooltip (groupId delay={300}) + Tooltip.Trigger + Tooltip.Content (maxWidth={200})","Tooltip (title=""info text"" enterTouchDelay={300} leaveTouchDelay={1500})","Tooltip (trigger={triggerElement}) + TooltipContent + TooltipText","Tooltip (children trigger={element})",--,Low
35,Action Sheet,"action sheet, options, bottom picker, context menu, multi-option",Overlay,"Bottom sheet with list of action options for contextual menus","Triggered by long-press on card or overflow menu button","Group related actions; use icons + labels; destructive actions at bottom in red; include Cancel","Mix navigation and actions; use more than 6 options (use full sheet instead); no cancel option","Sheet (modal snapPoints={[50]}) + YStack of Pressable items with icons","use @expo/react-native-action-sheet ActionSheetProvider + showActionSheetWithOptions","Actionsheet + ActionsheetContent + ActionsheetItem","use @expo/react-native-action-sheet",--,Medium
